epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,939.912,1.21164,1.00152,1.27882,0.61092,0.64104,0.66835,0.37526,1.53715,1.19472,1.295,0.000214046,0.000214046,0.000214046
86,970.253,1.22124,0.98641,1.28234,0.63506,0.65468,0.6941,0.39396,1.50879,1.11251,1.27454,0.000203663,0.000203663,0.000203663
87,1000.64,1.21958,0.99751,1.28372,0.6415,0.63019,0.69126,0.40029,1.45265,1.11908,1.25551,0.000193486,0.000193486,0.000193486
88,1033.19,1.2249,0.99519,1.28255,0.60938,0.65375,0.68485,0.39673,1.47266,1.13419,1.25588,0.000183523,0.000183523,0.000183523
89,1063.55,1.20167,0.97489,1.27414,0.62234,0.64259,0.67658,0.38552,1.47374,1.1497,1.26651,0.00017378,0.00017378,0.00017378
90,1093.96,1.19165,0.98396,1.27313,0.61193,0.64569,0.68075,0.38559,1.51339,1.12278,1.27953,0.000164264,0.000164264,0.000164264
91,1123.71,1.19793,0.97776,1.27616,0.62774,0.63928,0.67949,0.37858,1.54929,1.16517,1.29334,0.000154982,0.000154982,0.000154982
92,1154.08,1.19967,0.97888,1.27587,0.64433,0.60756,0.67363,0.37821,1.53335,1.21586,1.29535,0.00014594,0.00014594,0.00014594
93,1184.1,1.20353,0.96636,1.27879,0.5987,0.6429,0.6697,0.3845,1.49987,1.15457,1.27107,0.000137143,0.000137143,0.000137143
94,1214.71,1.19392,0.96676,1.26939,0.61935,0.63825,0.68496,0.39812,1.45157,1.14924,1.25772,0.000128599,0.000128599,0.000128599
95,1245.1,1.19663,0.96389,1.27143,0.62653,0.6274,0.67948,0.39013,1.45596,1.1411,1.25781,0.000120313,0.000120313,0.000120313
96,1275.62,1.2015,0.97906,1.27874,0.63311,0.63608,0.6911,0.40197,1.44538,1.11768,1.25121,0.00011229,0.00011229,0.00011229
97,1307.58,1.20045,0.98497,1.27959,0.61393,0.63019,0.67636,0.38859,1.47007,1.16869,1.26151,0.000104537,0.000104537,0.000104537
98,1338.02,1.18394,0.96088,1.27096,0.61949,0.62492,0.67778,0.3963,1.43705,1.14964,1.24845,9.70575e-05,9.70575e-05,9.70575e-05
99,1368.35,1.19138,0.9726,1.27463,0.61976,0.63701,0.68063,0.38925,1.50662,1.1371,1.27608,8.98581e-05,8.98581e-05,8.98581e-05
100,1398.44,1.16827,0.95916,1.25562,0.64342,0.63236,0.68702,0.39158,1.50986,1.15275,1.28221,8.29431e-05,8.29431e-05,8.29431e-05
101,1428.78,1.16645,0.93699,1.25556,0.63783,0.62889,0.68006,0.39477,1.46205,1.11564,1.2568,7.63174e-05,7.63174e-05,7.63174e-05
102,1459.07,1.17629,0.94654,1.26246,0.63106,0.64475,0.68969,0.40032,1.45277,1.13021,1.25505,6.99855e-05,6.99855e-05,6.99855e-05
103,1489.79,1.19286,0.94912,1.27269,0.64645,0.61252,0.67954,0.38756,1.50957,1.14502,1.27499,6.39518e-05,6.39518e-05,6.39518e-05
104,1520.26,1.19291,0.96074,1.27521,0.6328,0.62709,0.68497,0.39603,1.46252,1.12692,1.25788,5.82203e-05,5.82203e-05,5.82203e-05
105,1551.09,1.18293,0.9628,1.27533,0.63207,0.64662,0.6902,0.39743,1.45592,1.1357,1.25531,5.2795e-05,5.2795e-05,5.2795e-05
106,1585.93,1.18847,0.91019,1.26967,0.61413,0.64197,0.67861,0.38197,1.52766,1.13893,1.2847,4.76796e-05,4.76796e-05,4.76796e-05
107,1615.58,1.184,0.91476,1.2725,0.6258,0.65127,0.69721,0.40097,1.46137,1.09819,1.25387,4.28777e-05,4.28777e-05,4.28777e-05
108,1645.45,1.19282,0.92114,1.28297,0.63037,0.62058,0.68195,0.39052,1.484,1.12087,1.2617,3.83925e-05,3.83925e-05,3.83925e-05
109,1675.32,1.17166,0.89651,1.26076,0.63014,0.62988,0.68586,0.39395,1.47262,1.11919,1.25481,3.4227e-05,3.4227e-05,3.4227e-05
110,1705.61,1.17075,0.89523,1.26824,0.62651,0.6336,0.68876,0.39637,1.47036,1.12242,1.2548,3.03842e-05,3.03842e-05,3.03842e-05
